+1  -1837.8219732517 -1837.5835193210 -1837.5835194053 -1837.5835193625 -1837.5835193110 -1837.5835192238 -1837.5835194925 -1837.6355425785 -1837.6355425541 -1837.6355427562 -1837.6355423774 -1837.6355425276 -1837.6355425140 -1837.5500466962 -1837.5500466738 -1837.6022002112 -1837.6022001971
-1  -1837.8219057335 -1837.5824459175 -1837.5824458122 -1837.5824457643 -1837.5824458225 -1837.5824456991 -1837.5824457714 -1837.6345496502 -1837.6345496090 -1837.6345497415 -1837.6345496301 -1837.6345495954 -1837.6345497251 -1837.5490676563 -1837.5490676328 -1837.6013039781 -1837.6013039639
+2  -1837.8219938555 -1837.5840456283 -1837.5840459108 -1837.5840457389 -1837.5840455917 -1837.5840454382 -1837.5840452914 -1837.6360253038 -1837.6360252144 -1837.6360252494 -1837.6360253295 -1837.6360251914 -1837.6360252403 -1837.5505251975 -1837.5505251334 -1837.6026345835 -1837.6026345616
-2  -1837.8218686076 -1837.5819026850 -1837.5819022006 -1837.5819023845 -1837.5819027894 -1837.5819021313 -1837.5819024644 -1837.6340499451 -1837.6340498812 -1837.6340498445 -1837.6340498385 -1837.6340499088 -1837.6340498703 -1837.5485719286 -1837.5485718578 -1837.6008524895 -1837.6008524624
+3  -1837.8220091331 -1837.5845663747 -1837.5845660639 -1837.5845666898 -1837.5845661920 -1837.5845657107 -1837.5845661186 -1837.6365027942 -1837.6365024846 -1837.6365022438 -1837.6365024350 -1837.6365024702 -1837.6365025237 -1837.5509980137 -1837.5509979159 -1837.6030634530 -1837.6030634347
-3  -1837.8218259995 -1837.5813544967 -1837.5813543107 -1837.5813535140 -1837.5813527083 -1837.5813525376 -1837.5813534744 -1837.6335444810 -1837.6335445650 -1837.6335445071 -1837.6335444592 -1837.6335445411 -1837.6335444925 -1837.5480705731 -1837.5480704685 -1837.6003953733 -1837.6003953472
+4  -1837.8220183765 -1837.5850812303 -1837.5850814464 -1837.5850809817 -1837.5850808810 -1837.5850806747 -1837.5850804035 -1837.6369734483 -1837.6369734967 -1837.6369734853 -1837.6369734299 -1837.6369734093 -1837.6369734218 -1837.5514648863 -1837.5514647598 -1837.6034860372 -1837.6034860208
-4  -1837.8217784469 -1837.5807993380 -1837.5807990567 -1837.5807994149 -1837.5807986027 -1837.5807989339 -1837.5807985176 -1837.6330340796 -1837.6330340284 -1837.6330341687 -1837.6330340580 -1837.6330340294 -1837.6330341148 -1837.5475636727 -1837.5475635374 -1837.5999331715 -1837.5999331547
+5  -1837.8220218349 -1837.5855899815 -1837.5855899623 -1837.5855900800 -1837.5855898064 -1837.5855897259 -1837.5855899016 -1837.6374384288 -1837.6374384795 -1837.6374383969 -1837.6374384603 -1837.6374383808 -1837.6374384063 -1837.5519259185 -1837.5519257618 -1837.6039026221 -1837.6039026018
-5  -1837.8217258344 -1837.5802390926 -1837.5802393809 -1837.5802390437 -1837.5802385768 -1837.5802388469 -1837.5802389389 -1837.6325185583 -1837.6325184077 -1837.6325184619 -1837.6325184195 -1837.6325184988 -1837.6325184440 -1837.5470512878 -1837.5470511215 -1837.5994657563 -1837.5994657646
+6  -1837.8220195009 -1837.5860929810 -1837.5860930778 -1837.5860930204 -1837.5860928552 -1837.5860927843 -1837.5860928068 -1837.6378974708 -1837.6378973397 -1837.6378973867 -1837.6378974602 -1837.6378973228 -1837.6378973700 -1837.5523809289 -1837.5523807419 -1837.6043131509 -1837.6043131412
-6  -1837.8216678155 -1837.5796734649 -1837.5796734203 -1837.5796733867 -1837.5796732406 -1837.5796731996 -1837.5796733067 -1837.6319974474 -1837.6319972871 -1837.6319973330 -1837.6319973075 -1837.6319973703 -1837.6319973151 -1837.5465332411 -1837.5465330440 -1837.5989928210 -1837.5989928337
+7  -1837.8220139293 -1837.5865917199 -1837.5865917447 -1837.5865918026 -1837.5865915462 -1837.5865915358 -1837.5865915967 -1837.6383531183 -1837.6383530995 -1837.6383531677 -1837.6383531395 -1837.6383530743 -1837.6383530852 -1837.5528317720 -1837.5528315523 -1837.6047204213 -1837.6047204303
-7  -1837.8216023852 -1837.5791009100 -1837.5791010177 -1837.5791009378 -1837.5791007236 -1837.5791007723 -1837.5791006532 -1837.6314684785 -1837.6314684834 -1837.6314685205 -1837.6314684410 -1837.6314684050 -1837.6314685551 -1837.5460081492 -1837.5460079185 -1837.5985121202 -1837.5985121391
+8  -1837.8220011167 -1837.5870840283 -1837.5870845150 -1837.5870840698 -1837.5870839058 -1837.5870837709 -1837.5870833674 -1837.6388011958 -1837.6388012857 -1837.6388012273 -1837.6388011936 -1837.6388011693 -1837.6388012363 -1837.5532759334 -1837.5532756829 -1837.6051200609 -1837.6051200733
-8  -1837.8215332700 -1837.5785238517 -1837.5785239367 -1837.5785237121 -1837.5785234967 -1837.5785232886 -1837.5785231987 -1837.6309359887 -1837.6309359658 -1837.6309360259 -1837.6309359529 -1837.6309359188 -1837.6309360400 -1837.5454783946 -1837.5454781347 -1837.5980277767 -1837.5980277952
